Título,Tipo de Propiedad,Dirección,Zona,Número de Ambientes,Dormitorios,Número de Baños,Superficie Total,Superficie Construida,Precio,Expensas,Fecha de Publicación
Casa Lote Propio-Esquina-3 amb.Patio-Terraza-Garage-Local independiente 4x1,"Casa
Guardia Nacional al 2300, Villa Lugano, CABA","Casa
Guardia Nacional al 2300, Villa Lugano, CABA",", Villa Lugano, CABA",1 Ambiente,2 Dorm.,1 Baño,150 m² total,120 m² cubierto,USD 165.000,No especificado,Publicado el 27/11/2024
Departamento en venta en Mataderos,"Departamento
Av. Larrazábal al 1700, Mataderos, CABA","Departamento
Av. Larrazábal al 1700, Mataderos, CABA",", Mataderos, CABA",1 Ambiente,1 Baño,No especificado,28 m² cubierto,No especificado,USD 51.900,No especificado,Publicado el 27/11/2024
"BARRIO SAMORE - Espectacular dpto. 4 amb. frente, balcón cubierto,ventanales corredizos-2 Baños-Lava","Departamento
Av. Dellepiane 4670 T.14 C. 6 ""G"" al 0, Villa Lugano, CABA","Departamento
Av. Dellepiane 4670 T.14 C. 6 ""G"" al 0, Villa Lugano, CABA",", Villa Lugano, CABA",4 Ambientes,3 Dorm.,2 Baños,70 m² total,65 m² cubierto,USD 65.000,Expensas: $100.000,Publicado el 27/11/2024
2 ambientes frente balcón apto Prof. Salguero 800,"Departamento - Departamento
Jerónimo Salguero al 800, Almagro Norte, CABA","Departamento - Departamento
Jerónimo Salguero al 800, Almagro Norte, CABA",", Almagro Norte, CABA",1 Baño,No especificado,No especificado,No especificado,No especificado,USD 145.000,Expensas: $147.000,Publicado el 27/11/2024
"Casa en Lote propio de 8,66 x 13 con garage, patio, terraza y parrilla, zona de Villa Lugano","Casa - Casa
Crisóstomo Álvarez al 5400, Villa Lugano, CABA","Casa - Casa
Crisóstomo Álvarez al 5400, Villa Lugano, CABA",", Villa Lugano, CABA",3 Ambientes,2 Dorm.,1 Baño,1 Cochera,116 m² total,USD 137.000,Expensas: $100.000,Publicado el 27/11/2024
"DEPARTAMENTO 3 AMBIENTES - CABALLITO, CAPITAL FEDERAL","Departamento - Departamento
AV AVELLANEDA al 1700, Caballito, CABA","Departamento - Departamento
AV AVELLANEDA al 1700, Caballito, CABA",", Caballito, CABA",3 Ambientes,2 Dorm.,1 Baño,1 Cochera,86 m² total,USD 199.000,Expensas: $100.000,Publicado el 27/11/2024
CAÑITAS -Lindo Monoambiente luminoso y funcional en Palermo,"Departamento - Departamento
Matienzo 1731, Palermo, CABA","Departamento - Departamento
Matienzo 1731, Palermo, CABA",", Palermo, CABA",1 Ambiente,3 Baños,No especificado,30 m² cubierto,No especificado,USD 85.000,Expensas: $102.000,Publicado el 27/11/2024
"DEPARTAMENTO 4 DORMITORIOS - RECOLETA, CAPITAL FEDERAL","Departamento - Duplex
CALLAO AV. al 1800, Barrio Norte Recoleta, CABA","Departamento - Duplex
CALLAO AV. al 1800, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",5 Ambientes,4 Dorm.,3 Baños,2 Cocheras,437 m² total,USD 1.350.000,Expensas: $100.000,Publicado el 27/11/2024
Departamento en venta de 1 dormitorio en Balvanera,"Departamento
Av. Corrientes al 1700, Balvanera, CABA","Departamento
Av. Corrientes al 1700, Balvanera, CABA",", Balvanera, CABA",2 Ambientes,1 Dorm.,1 Baño,43 m² total,40 m² cubierto,USD 69.900,Expensas: $100.000,Publicado el 27/11/2024
San cristobal,"Departamento - Departamento
Matheu al 1000, San Cristóbal, CABA","Departamento - Departamento
Matheu al 1000, San Cristóbal, CABA",", San Cristóbal, CABA",2 Ambientes,1 Dorm.,1 Baño,28 m² total,28 m² cubierto,USD 45.000,Expensas: $215.000,Publicado el 27/11/2024
Venta de monoambiente en Marcelo T de Alvear al 1800 - Barrio Norte Recoleta,"Departamento - Monoambiente
Marcelo Torcuato de Alvear al 1800, Barrio Norte Recoleta, CABA","Departamento - Monoambiente
Marcelo Torcuato de Alvear al 1800, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",1 Ambiente,1 Baño,No especificado,21 m² cubierto,No especificado,USD 47.000,Expensas: $317.000,Publicado el 27/11/2024
Monoambiente reciclado en Barrio Norte,"Departamento - Departamento
Pacheco de Melo al 3000, Barrio Norte, CABA","Departamento - Departamento
Pacheco de Melo al 3000, Barrio Norte, CABA",", Barrio Norte, CABA",1 Ambiente,1 Baño,No especificado,32 m² cubierto,No especificado,USD 82.000,No especificado,Publicado el 27/11/2024
2 amb muy luminoso c/ amenities y cochera,"Departamento - Departamento
SANTOS DUMONT al 2300, Colegiales, CABA","Departamento - Departamento
SANTOS DUMONT al 2300, Colegiales, CABA",", Colegiales, CABA",2 Ambientes,1 Dorm.,1 Baño,47 m² total,43 m² cubierto,USD 160.000,No especificado,Publicado el 27/11/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
French al 2600, undefined, CABA","Departamento - Departamento
French al 2600, undefined, CABA",", undefined, CABA",4 Ambientes,3 Dorm.,2 Baños,116 m² total,107 m² cubierto,USD 290.000,No especificado,Publicado el 27/11/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
Av. San Juan al 3100, San Cristóbal, CABA","Departamento - Departamento
Av. San Juan al 3100, San Cristóbal, CABA",", San Cristóbal, CABA",1 Ambiente,1 Baño,No especificado,19 m² cubierto,No especificado,USD 46.835,Expensas: $59.600,Publicado el 27/11/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
JUJUY, AV. al 500, Balvanera, CABA","Departamento - Departamento
JUJUY, AV. al 500, Balvanera, CABA",", Balvanera, CABA",3 Ambientes,2 Dorm.,No especificado,58 m² cubierto,No especificado,USD 125.000,Expensas: $150.000,Publicado el 27/11/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
AV. CORRIENTES al 3400, Abasto, CABA","Departamento - Departamento
AV. CORRIENTES al 3400, Abasto, CABA",", Abasto, CABA",3 Ambientes,2 Dorm.,2 Baños,78 m² total,74 m² cubierto,USD 197.567,Expensas: $80.000,Publicado el 27/11/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
Virrey Cevallos al 300, Villa del Parque, CABA","Departamento - Departamento
Virrey Cevallos al 300, Villa del Parque, CABA",", Villa del Parque, CABA",2 Ambientes,1 Dorm.,1 Baño,49 m² total,42 m² cubierto,USD 132.000,Expensas: $80.000,Publicado el 27/11/2024
"2 AMBIENTES | RIVADAVIA, AV al 9900","Departamento - Departamento
RIVADAVIA, AV al 9900, Villa Luro, CABA","Departamento - Departamento
RIVADAVIA, AV al 9900, Villa Luro, CABA",", Villa Luro, CABA",2 Ambientes,1 Dorm.,1 Baño,46 m² total,41 m² cubierto,USD 87.400,Expensas: $70.000,Publicado el 27/11/2024
VENTA PH DE 3 AMBIENTES AL FRENTE,"Departamento - Departamento
MOLIERE al 2900, Villa Real, CABA","Departamento - Departamento
MOLIERE al 2900, Villa Real, CABA",", Villa Real, CABA",3 Ambientes,2 Dorm.,1 Baño,111 m² total,66 m² cubierto,USD 155.000,No especificado,Publicado el 27/11/2024
Av Pueyrredón 100 Balvanera 3amb U$80.000,"Departamento - Semipiso
Av Pueyrredón al 100, Balvanera, CABA","Departamento - Semipiso
Av Pueyrredón al 100, Balvanera, CABA",", Balvanera, CABA",3 Ambientes,2 Dorm.,2 Baños,73 m² total,73 m² cubierto,USD 80.000,No especificado,Publicado el 27/11/2024
Sarmiento 1200 San Nicolás 1amb U$52.000,"Departamento - Departamento
Sarmiento al 1200, San Nicolás, CABA","Departamento - Departamento
Sarmiento al 1200, San Nicolás, CABA",", San Nicolás, CABA",1 Ambiente,1 Baño,No especificado,22 m² cubierto,No especificado,USD 52.000,No especificado,Publicado el 27/11/2024
PH 4 ambientes venta Villa Pueyrredón,"Casa - Casa
HELGUERA al 5000, Villa Pueyrredón, CABA","Casa - Casa
HELGUERA al 5000, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",4 Ambientes,3 Dorm.,2 Baños,110 m² total,82 m² cubierto,USD 220.000,No especificado,Publicado el 27/11/2024
Duplex 4 ambientes venta Villa Pueyrredón,"Departamento - Departamento
HELGUERA al 5000, Villa Pueyrredón, CABA","Departamento - Departamento
HELGUERA al 5000, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",4 Ambientes,3 Dorm.,2 Baños,110 m² total,82 m² cubierto,USD 220.000,No especificado,Publicado el 27/11/2024
Departamento 2 ambientes VENTA Villa Pueyrredón,"Departamento - Departamento
AV MOSCONI al 3400, Villa Pueyrredón, CABA","Departamento - Departamento
AV MOSCONI al 3400, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",2 Ambientes,1 Dorm.,1 Baño,54 m² total,43 m² cubierto,USD 120.000,No especificado,Publicado el 27/11/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
SAN JUAN al 2000, San Cristóbal, CABA","Departamento - Departamento
SAN JUAN al 2000, San Cristóbal, CABA",", San Cristóbal, CABA",2 Ambientes,1 Dorm.,1 Baño,51 m² total,51 m² cubierto,USD 64.500,No especificado,Publicado el 27/11/2024
Departamento De 2 Ambientes En Venta En Villa Crespo,"Departamento
THAMES al 600, Villa Crespo, CABA","Departamento
THAMES al 600, Villa Crespo, CABA",", Villa Crespo, CABA",2 Ambientes,1 Dorm.,1 Baño,37 m² total,34 m² cubierto,USD 83.000,No especificado,Publicado el 26/11/2024
Departamento 2 Ambientes Venta Villa Pueyrredón,"Departamento - Departamento
AV MOSCONI al . Entre Concordia y Llavallol al 3400, Villa Pueyrredón, CABA","Departamento - Departamento
AV MOSCONI al . Entre Concordia y Llavallol al 3400, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",2 Ambientes,1 Dorm.,1 Baño,1 Cochera,54 m² total,USD 120.000,No especificado,Publicado el 26/11/2024
Departamento Dos Ambientes Con Balcon En Villa Luro!,"Departamento - Departamento
Ramon Falcon al al 5900, Liniers, CABA","Departamento - Departamento
Ramon Falcon al al 5900, Liniers, CABA",", Liniers, CABA",2 Ambientes,1 Dorm.,1 Baño,44 m² total,40 m² cubierto,USD 86.000,No especificado,Publicado el 26/11/2024
"Excelente Ubicacion ,amplisima Unidad, 2 Cocheras, Baulera","Departamento
Jose Cubas 1 al 4300, Villa Devoto, CABA","Departamento
Jose Cubas 1 al 4300, Villa Devoto, CABA",", Villa Devoto, CABA",3 Ambientes,2 Dorm.,3 Baños,2 Cocheras,150 m² total,USD 250.000,No especificado,Publicado el 26/11/2024
Departamento En Flores,"Departamento - Departamento
Av. Avellaneda al al 2200, Flores, CABA","Departamento - Departamento
Av. Avellaneda al al 2200, Flores, CABA",", Flores, CABA",4 Ambientes,3 Dorm.,3 Baños,1 Cochera,122 m² total,USD 395.000,No especificado,Publicado el 26/11/2024
Departamento - Palermo Chico,"Departamento - Departamento
Jeronimo Salguero al al 2600, Palermo Chico, CABA","Departamento - Departamento
Jeronimo Salguero al al 2600, Palermo Chico, CABA",", Palermo Chico, CABA",1 Ambiente,1 Baño,No especificado,45 m² cubierto,No especificado,USD 170.000,No especificado,Publicado el 26/11/2024
Departamento En Las Cañitas,"Departamento - Departamento
Av. Libertador al al 4700, Palermo Las Cañitas, CABA","Departamento - Departamento
Av. Libertador al al 4700, Palermo Las Cañitas, CABA",", Palermo Las Cañitas, CABA",4 Ambientes,3 Dorm.,3 Baños,1 Cochera,230 m² total,USD 750.000,No especificado,Publicado el 26/11/2024
Departamento En Palermo Chico,"Departamento - Departamento
Lafinur al al 3300, Palermo Chico, CABA","Departamento - Departamento
Lafinur al al 3300, Palermo Chico, CABA",", Palermo Chico, CABA",4 Ambientes,3 Dorm.,2 Baños,1 Cochera,140 m² total,USD 420.000,No especificado,Publicado el 26/11/2024
Departamento En Flores,"Departamento - Departamento
Av. Avellaneda al al 2200, Flores, CABA","Departamento - Departamento
Av. Avellaneda al al 2200, Flores, CABA",", Flores, CABA",3 Ambientes,2 Dorm.,2 Baños,1 Cochera,91 m² total,USD 305.000,No especificado,Publicado el 26/11/2024
Departamento - Palermo Chico,"Departamento - Departamento
Av. Cerviño al 3100, Palermo Chico, CABA","Departamento - Departamento
Av. Cerviño al 3100, Palermo Chico, CABA",", Palermo Chico, CABA",4 Ambientes,3 Dorm.,3 Baños,1 Cochera,178 m² total,USD 1.000.000,No especificado,Publicado el 26/11/2024
Venta Departamento 2 Ambientes En Congreso. Pasco 500,"Departamento - Departamento
Pasco 3° al 500, Balvanera Congreso, CABA","Departamento - Departamento
Pasco 3° al 500, Balvanera Congreso, CABA",", Balvanera Congreso, CABA",2 Ambientes,1 Dorm.,1 Baño,37 m² total,31 m² cubierto,USD 52.000,No especificado,Publicado el 26/11/2024
Venta Totalmente Equipado Recoleta,"Departamento - Departamento
Ecuador al 1300, Recoleta, CABA","Departamento - Departamento
Ecuador al 1300, Recoleta, CABA",", Recoleta, CABA",1 Baño,No especificado,No especificado,No especificado,No especificado,USD 87.000,No especificado,Publicado el 26/11/2024
Hermoso Depto A La Venta,"Departamento - Departamento
Guemes al 3200, Palermo, CABA","Departamento - Departamento
Guemes al 3200, Palermo, CABA",", Palermo, CABA",1 Baño,No especificado,No especificado,No especificado,No especificado,USD 85.000,No especificado,Publicado el 26/11/2024
Departamento En Venta,"Departamento - Departamento
Avenida Del Libertador al al 300, Recoleta, CABA","Departamento - Departamento
Avenida Del Libertador al al 300, Recoleta, CABA",", Recoleta, CABA",5 Ambientes,4 Dorm.,2 Baños,2 Cocheras,248 m² total,USD 840.000,No especificado,Publicado el 26/11/2024
"Venta De Monoambiente Con Balcon, Pileta Y Amenities En Recoleta. Apto Credito","Departamento - Departamento
Sanchez de Bustamante al al 1300, Recoleta, CABA","Departamento - Departamento
Sanchez de Bustamante al al 1300, Recoleta, CABA",", Recoleta, CABA",1 Ambiente,1 Baño,No especificado,36 m² cubierto,No especificado,USD 110.000,No especificado,Publicado el 26/11/2024
Departamento En Palermo Hollywood,"Departamento - Departamento
Guatemala al al 5400, Palermo Hollywood, CABA","Departamento - Departamento
Guatemala al al 5400, Palermo Hollywood, CABA",", Palermo Hollywood, CABA",1 Ambiente,1 Dorm.,1 Baño,28 m² total,25 m² cubierto,USD 85.000,No especificado,Publicado el 26/11/2024
Departamento En Venta,"Departamento - Departamento
Hipólito Yrigoyen al al 3200, Balvanera, CABA","Departamento - Departamento
Hipólito Yrigoyen al al 3200, Balvanera, CABA",", Balvanera, CABA",4 Ambientes,1 Baño,No especificado,110 m² cubierto,No especificado,USD 195.000,No especificado,Publicado el 26/11/2024
"Forest 600, 3 Ambientes A Estrenar C/balcón Al Contrafrente, Oportunidad, Chacarita","Departamento - Departamento
Forest al al 600, Chacarita, CABA","Departamento - Departamento
Forest al al 600, Chacarita, CABA",", Chacarita, CABA",3 Ambientes,2 Dorm.,1 Baño,52 m² total,49 m² cubierto,USD 105.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta En San Telmo, Capital Federal, Buenos Aires","Departamento - Departamento
Chacabuco al 500, San Telmo, CABA","Departamento - Departamento
Chacabuco al 500, San Telmo, CABA",", San Telmo, CABA",1 Ambiente,1 Baño,No especificado,23 m² cubierto,No especificado,USD 55.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta En Belgrano, Capital Federal, Buenos Aires","Departamento - Departamento
Amenabar al 1300, Belgrano, CABA","Departamento - Departamento
Amenabar al 1300, Belgrano, CABA",", Belgrano, CABA",3 Ambientes,2 Dorm.,1 Baño,46 m² total,46 m² cubierto,USD 140.000,No especificado,Publicado el 26/11/2024
"Departamento Semipiso En Venta En Villa Santa Rita, Capital Federal, Buenos Aires","Departamento - Semipiso
Remedios de Escalada de San Martin al 2900, Villa Santa Rita, CABA","Departamento - Semipiso
Remedios de Escalada de San Martin al 2900, Villa Santa Rita, CABA",", Villa Santa Rita, CABA",4 Ambientes,3 Dorm.,2 Baños,148 m² total,123 m² cubierto,USD 198.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta En Palermo, Capital Federal, Buenos Aires","Departamento - Departamento
Araoz al 2200, Palermo, CABA","Departamento - Departamento
Araoz al 2200, Palermo, CABA",", Palermo, CABA",3 Ambientes,1 Dorm.,No especificado,70 m² cubierto,No especificado,USD 200.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta En Palermo, Capital Federal, Buenos Aires","Departamento - Departamento
Francisco Acuña de Figueroa al 1300, Palermo, CABA","Departamento - Departamento
Francisco Acuña de Figueroa al 1300, Palermo, CABA",", Palermo, CABA",2 Ambientes,1 Dorm.,2 Baños,1 Cochera,42 m² total,USD 125.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta En Recoleta, Capital Federal, Buenos Aires","Departamento - Departamento
Quirno Costa al 1200, Recoleta, CABA","Departamento - Departamento
Quirno Costa al 1200, Recoleta, CABA",", Recoleta, CABA",4 Ambientes,3 Dorm.,2 Baños,80 m² total,70 m² cubierto,USD 195.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta Ubicado En Botánico, Palermo, Capital Federal","Departamento - Departamento
Godoy Cruz al 2700, Palermo Botánico, CABA","Departamento - Departamento
Godoy Cruz al 2700, Palermo Botánico, CABA",", Palermo Botánico, CABA",2 Ambientes,1 Dorm.,No especificado,30 m² cubierto,No especificado,USD 63.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta En San Nicolás, Capital Federal, Buenos Aires","Departamento - Departamento
Esmeralda al 700, San Nicolás, CABA","Departamento - Departamento
Esmeralda al 700, San Nicolás, CABA",", San Nicolás, CABA",2 Ambientes,1 Dorm.,1 Baño,42 m² total,42 m² cubierto,USD 80.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta En Núñez, Capital Federal, Buenos Aires","Departamento - Departamento
Cabildo av. al 3800, Nuñez, CABA","Departamento - Departamento
Cabildo av. al 3800, Nuñez, CABA",", Nuñez, CABA",1 Ambiente,1 Dorm.,1 Baño,35 m² total,31 m² cubierto,USD 83.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta En Belgrano, Capital Federal, Buenos Aires","Departamento - Departamento
Vidal al 1800, Belgrano, CABA","Departamento - Departamento
Vidal al 1800, Belgrano, CABA",", Belgrano, CABA",3 Ambientes,2 Dorm.,1 Baño,67 m² total,67 m² cubierto,USD 180.000,No especificado,Publicado el 26/11/2024
"Departamento Monoambiente En Venta En Palermo, Capital Federal, Buenos Aires","Departamento - Monoambiente
Fray justo Santa María de Oro al 2100, Palermo, CABA","Departamento - Monoambiente
Fray justo Santa María de Oro al 2100, Palermo, CABA",", Palermo, CABA",1 Ambiente,1 Baño,No especificado,28 m² cubierto,No especificado,USD 90.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta En Caballito, Capital Federal, Buenos Aires","Departamento - Departamento
Pedro Goyena al 1600, Caballito, CABA","Departamento - Departamento
Pedro Goyena al 1600, Caballito, CABA",", Caballito, CABA",4 Ambientes,3 Dorm.,3 Baños,1 Cochera,153 m² total,USD 269.000,No especificado,Publicado el 26/11/2024
"Departamento Semipiso En Venta En Belgrano, Capital Federal, Buenos Aires","Departamento - Semipiso
Mendoza al 2600, Belgrano, CABA","Departamento - Semipiso
Mendoza al 2600, Belgrano, CABA",", Belgrano, CABA",4 Ambientes,3 Dorm.,2 Baños,84 m² total,72 m² cubierto,USD 219.000,No especificado,Publicado el 26/11/2024
"Departamento Monoambiente En Venta En Congreso, Capital Federal, Buenos Aires","Departamento - Monoambiente
Hipolito Yrigoyen al 1300, Balvanera Congreso, CABA","Departamento - Monoambiente
Hipolito Yrigoyen al 1300, Balvanera Congreso, CABA",", Balvanera Congreso, CABA",1 Ambiente,No especificado,No especificado,No especificado,No especificado,USD 50.000,No especificado,Publicado el 26/11/2024
"Departamento Piso En Venta En Villa Urquiza, Capital Federal, Buenos Aires","Departamento
Bauness al 1800, Villa Urquiza, CABA","Departamento
Bauness al 1800, Villa Urquiza, CABA",", Villa Urquiza, CABA",3 Ambientes,2 Dorm.,2 Baños,1 Cochera,76 m² total,USD 220.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta En Belgrano C, Belgrano, Capital Federal","Departamento - Departamento
Montañeses al 2200, Belgrano C, CABA","Departamento - Departamento
Montañeses al 2200, Belgrano C, CABA",", Belgrano C, CABA",2 Ambientes,1 Dorm.,1 Baño,67 m² total,54 m² cubierto,USD 235.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta En Colegiales, Capital Federal, Buenos Aires","Departamento - Departamento
Santos Dumont al 2700, Colegiales, CABA","Departamento - Departamento
Santos Dumont al 2700, Colegiales, CABA",", Colegiales, CABA",3 Ambientes,2 Dorm.,1 Baño,61 m² total,57 m² cubierto,USD 128.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta En Belgrano C, Belgrano, Capital Federal","Departamento - Departamento
Montañeses al 2200, Belgrano C, CABA","Departamento - Departamento
Montañeses al 2200, Belgrano C, CABA",", Belgrano C, CABA",2 Ambientes,1 Dorm.,1 Baño,67 m² total,54 m² cubierto,USD 235.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta En Villa Urquiza, Capital Federal, Buenos Aires","Departamento - Departamento
Av Monroe al 5200, Villa Urquiza, CABA","Departamento - Departamento
Av Monroe al 5200, Villa Urquiza, CABA",", Villa Urquiza, CABA",5 Ambientes,3 Dorm.,3 Baños,1 Cochera,122 m² total,USD 265.000,No especificado,Publicado el 26/11/2024
"Departamento Semipiso En Venta En Flores, Capital Federal, Buenos Aires","Departamento - Semipiso
Ramon Falcon al 3700, Flores, CABA","Departamento - Semipiso
Ramon Falcon al 3700, Flores, CABA",", Flores, CABA",3 Ambientes,2 Dorm.,1 Baño,64 m² total,62 m² cubierto,USD 120.000,No especificado,Publicado el 26/11/2024
"Departamento Piso En Venta En Núñez, Capital Federal, Buenos Aires","Departamento
Av del Libertador al 7200, Nuñez, CABA","Departamento
Av del Libertador al 7200, Nuñez, CABA",", Nuñez, CABA",6 Ambientes,4 Dorm.,3 Baños,115 m² total,100 m² cubierto,USD 265.000,No especificado,Publicado el 26/11/2024
"Departamento Semipiso En Venta En Belgrano, Capital Federal, Buenos Aires","Departamento - Semipiso
Teodoro García al 2300, Belgrano, CABA","Departamento - Semipiso
Teodoro García al 2300, Belgrano, CABA",", Belgrano, CABA",4 Ambientes,3 Dorm.,2 Baños,75 m² total,73 m² cubierto,USD 200.000,No especificado,Publicado el 26/11/2024
Departamento En Belgrano,"Departamento - Departamento
Av Cabildo al al 2400, Belgrano, CABA","Departamento - Departamento
Av Cabildo al al 2400, Belgrano, CABA",", Belgrano, CABA",2 Ambientes,1 Dorm.,1 Baño,40 m² total,40 m² cubierto,USD 125.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta En Constitución, Capital Federal, Buenos Aires","Departamento - Departamento
Carlos Calvo al 1500, Constitución, CABA","Departamento - Departamento
Carlos Calvo al 1500, Constitución, CABA",", Constitución, CABA",1 Ambiente,No especificado,No especificado,No especificado,No especificado,USD 69.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta En Saavedra, Capital Federal, Buenos Aires","Departamento - Departamento
Nuñez al 3200, Saavedra, CABA","Departamento - Departamento
Nuñez al 3200, Saavedra, CABA",", Saavedra, CABA",3 Ambientes,2 Dorm.,1 Baño,70 m² total,70 m² cubierto,USD 135.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta Ubicado En Constitución, Capital Federal, Buenos Aires","Departamento - Departamento
Carlos Calvo al 1500, Constitución, CABA","Departamento - Departamento
Carlos Calvo al 1500, Constitución, CABA",", Constitución, CABA",1 Ambiente,No especificado,No especificado,No especificado,No especificado,USD 70.000,No especificado,Publicado el 26/11/2024
"Departamento En Venta En Saavedra, Capital Federal, Buenos Aires","Departamento - Departamento
Jaramillo al 3400, Saavedra, CABA","Departamento - Departamento
Jaramillo al 3400, Saavedra, CABA",", Saavedra, CABA",2 Ambientes,1 Dorm.,2 Baños,1 Cochera,70 m² total,USD 185.000,No especificado,Publicado el 26/11/2024
