Ti­tulo,Tipo de Propiedad,Zona,Numero de Areas,Dormitorios,Numero de Banos,Superficie Total,Superficie Construida,Precio,Expensas,Fecha de Publicacion
Departamento En Venta De 2 Ambientes En Palermo,Departamento,Palermo,2,1,1,52,45,"$225,000","$50,000",25/09/2024
-SUSPENDIDO MOMENTANEAMENTE - Hermoso 2 ambientes en Palermo,Departamento,Palermo,2,1,1,49,42,"$125,000","$55,000",24/09/2024
Se vende un departamento de 3 ambientes con amenities,Departamento,Palermo,3,2,1,50,43,"$180,000","$57,000",29/09/2024
Venta Palermo Hollywood 3 ambientes con terraza propida,Departamento,Palermo,3,2,1,93,64,"$160,000","$60,000",05/11/2024
Hermoso Departamento en últimi piso con terraza y parilla. Super Luminoso,Departamento,Palermo,2,1,1,66,41,"$179,000","$62,000",15/10/2024
venta depto 2 amb Palermo,Departamento,Palermo,2,1,1,31,31,"$119,000","$65,000",26/11/2024
Teodoro Garcí­a 2330 8Âº Palermo Belgrano Cañitas 3amb u$ 160m,Departamento,Palermo,3,2,1,69,60,"$160,000","$65,000",14/11/2024
Venta Palermo Hollywood 3 ambientes con terraza propida,Departamento,Palermo,3,2,1,93,64,"$160,000","$65,000",05/11/2024
Departamento - Venta - Capital Federal,Departamento,Palermo,3,2,2,62,62,"$157,000","$66,000",21/11/2024
3 ambientes luminosos,Departamento,Palermo,3,2,1,54,52,"$130,000","$68,000",12/11/2024
LUMINOSO 2 AMBIENTES CON BAULERA EN PALERMO,Departamento,Palermo,2,1,1,45,45,"$92,000","$70,000",05/11/2024
Venta Departamento - 2 Ambientes - Palermo.,Departamento,Palermo,2,1,1,50,50,"$109,000","$70,000",25/09/2024
3 AMBIENTES AL FRENTE CON BALCON EN INMEJORABLE UBICACION,Departamento,Palermo,3,2,1,58,55,"$119,000","$70,000",24/09/2024
DIVINO 3AMBIENTES CON DEPENDENCIAS - FRENTE BALCóN - TODO A,Departamento,Palermo,3,2,2,100,96,"$260,000","$70,000",24/09/2024
Departamento 3 Amb Balcon Corrido - Amenities - Opcional Cochera - Palermo,Departamento,Palermo,3,2,2,60,57,"$221,000","$77,000",28/09/2024
Depto 3 Ambientes C/ Balcon Al Cfte en Palermo,Departamento,Palermo,3,2,1,56,54,"$105,000","$78,000",26/11/2024
Vendo en Palermo Soho. Departamento de 3 Ambientes. Ideal vivienda o renta.,Departamento,Palermo,3,2,1,50,50,"$115,000","$80,000",21/11/2024
Departamento - Venta - Capital Federal,Departamento,Palermo,1,1,1,40,36,"$122,400","$80,000",22/10/2024
P. BAJA: 3 AMB C/DEP + PATIO 25M2 AL CONTRAFRENTE,Departamento,Palermo,3,2,2,104,68,"$160,000","$80,000",24/09/2024
Hermoso 2 ambientes reciclado a nuevo en Palermo,Departamento,Palermo,2,1,1,31,31,"$72,000","$88,000",14/11/2024
SEMIPISO DOS AMBIENTES - BAULERA - ALTO PALERMO.,Departamento,Palermo,2,1,1,41,37,"$80,000","$98,000",05/11/2024
Venta departamento 2 ambientes en Palermo,Departamento,Palermo,2,1,1,43,43,"$75,000","$100,000",22/10/2024
AMPLIO MONOAMBIENTE - FRENTE - BALCON - AMENITIES - TOTALMEN,Departamento,Palermo,1,1,1,42,38,"$160,000","$100,000",24/09/2024
Luminoso departamento con cochera en Palermo,Departamento,Palermo,4,4,2,82,82,"$230,000","$108,000",29/10/2024
Luminoso departamento con cochera en Palermo,Departamento,Palermo,4,4,2,82,82,"$230,000","$108,000",28/09/2024
Departamento - Venta - Capital Federal,Departamento,Palermo,3,2,1,62,59,"$140,000","$115,000",05/11/2024
venta departamento de 2 ambientes Palermo,Departamento,Palermo,2,1,1,36,34,"$90,000","$115,969",27/10/2024
Palermo: 2 Ambientes Seguí­ Y Sinclair Oportunidad Por Ubicación Y Estado!,Departamento,Palermo,2,1,1,38,38,"$79,900","$120,000",11/11/2024
Venta Departamento Monoambiente en Palermo,Departamento,Palermo,1,1,1,34,30,"$85,000","$120,000",24/10/2024
Departamento - Venta - Capital Federal,Departamento,Palermo,4,3,2,80,80,"$189,000","$120,000",25/09/2024
"DEPARTAMENTO 2 AMBIENTES - PALERMO, CAPITAL FEDERAL",Departamento,Palermo,2,1,1,48,43,"$149,000","$121,000",15/10/2024
A ESTRENAR!!! TOWN HOUSE - MONOAMBIENTES DESDE U$S 121.103 D,Departamento,Palermo,1,1,1,48,45,"$179,479","$150,000",24/09/2024
"Excelente 3 ambientes + escritorio, reciclado con cochera en Palermo !!!",Departamento,Palermo,3,2,1,75,75,"$230,000","$152,000",07/10/2024
"DEPARTAMENTO 2 AMBIENTES - PALERMO, CAPITAL FEDERAL",Departamento,Palermo,2,1,1,79,45,"$198,000","$157,000",25/09/2024
Departamento 2 Ambientes - Lateral Con Vista Abierta,Departamento,Palermo,2,1,1,31,31,"$85,000","$160,000",09/11/2024
Departamento en venta de 3 ambientes en Palermo - Av. Santa Fe al 5200,Departamento,Palermo,3,2,1,52,48,"$125,000","$160,000",19/10/2024
Arce 200 Palermo 2amb U$220.000,Departamento,Palermo,2,1,1,50,50,"$220,000","$180,000",05/11/2024
Arce 200 Palermo 2amb U$220.000,Departamento,Palermo,2,1,1,50,50,"$220,000","$180,000",31/10/2024
Departamento Duplex En Venta En Palermo A Estrenar,Departamento,Palermo,3,1,2,74,74,"$155,000","$210,000",28/10/2024
CUATRO AMB FTE BCON - DEPEND - BAULERA - PALERMO.,Departamento,Palermo,4,3,3,123,119,"$250,000","$210,000",09/10/2024
Venta departamento 3 ambientes en Palermo,Departamento,Palermo,3,2,1,67,61,"$155,000","$222,000",12/11/2024
OPPEL | Departamento en Venta | PALERMO Capital Federal |,Departamento,Palermo,2,1,1,51,46,"$150,000","$232,914",27/09/2024
OPORTUNIDAD!!! 4 AMB CONTRAFRENTE CON BALCON - BANO - TOILET,Departamento,Palermo,4,3,2,71,68,"$145,000","$250,000",24/09/2024
Departamento 3 Amb Balcon Corrido - Amenities - Opcional Cochera - Palermo,Departamento,Palermo,3,2,2,81,68,"$231,500","$250,000",28/09/2024
Amplio departamento con balcón corrido a metros del Boulevard Charcas,Departamento,Palermo,4,4,1,106,97,"$210,000","$271,000",29/10/2024
Palermo - Venta departamento Apto profesional - ideal Consultorios / oficinas,Departamento,Palermo,4,3,2,77,77,"$119,000","$290,000",15/11/2024
Tucuman Al 3775 Piso 13 F Departamento Venta De 2 Ambientes Muy Luminosos Vista Panoramica,Departamento,Palermo,2,1,1,27,27,"$57,000",$0,25/10/2024
"Depto 2 Amb, Impecable, Piso 9, Todo Luz y Sol, en Palermo",Departamento,Palermo,2,1,1,28,28,"$65,000",$0,25/11/2024
"Departamento 2 Ambientes A La Venta, Palermo!",Departamento,Palermo,2,1,1,37,37,"$75,000",$0,06/11/2024
Departamento De 2 Ambientes En Venta En Palermo,Departamento,Palermo,2,1,1,43,43,"$77,000",$0,04/10/2024
Hermoso Semipiso 2 Ambientes En Zona Estratégica,Departamento,Palermo,2,1,1,35,35,"$82,500",$0,11/11/2024
Departamento De 2 Ambientes En Venta En Palermo,Departamento,Palermo,2,1,1,37,35,"$85,000",$0,18/10/2024
Departamento De 3 Ambientes En Venta En Palermo,Departamento,Palermo,3,2,1,55,52,"$85,000",$0,12/11/2024
Departamento De 2 Ambientes En Venta En Palermo,Departamento,Palermo,2,1,1,38,38,"$87,000",$0,02/10/2024
Venta Departamento 2 Ambientes En Barrio Norte / Frente Al Parque Las Heras!,Departamento,Palermo,2,1,1,32,32,"$90,000",$0,05/11/2024
"Mansilla 3300, Departamento 2 Ambientes Con 2 Patios - Palermo",Departamento,Palermo,2,1,1,49,36,"$93,000",$0,13/11/2024
"Venta Departamento De 2 Ambientes, Con Baño Completo Y Cocina Reciclados En Palermo",Departamento,Palermo,2,1,1,36,32,"$95,000",$0,31/10/2024
Venta Departamento 2 Ambientes Palermo Apto Profesional,Departamento,Palermo,2,1,1,36,36,"$95,000",$0,04/11/2024
Departamento En Palermo,Departamento,Palermo,2,1,1,44,42,"$95,000",$0,24/09/2024
Departamento - Venta - Capital Federal,Departamento,Palermo,2,1,1,53,44,"$95,000",$0,26/11/2024
venta monoambiente con balcón en Palermo,Departamento,Palermo,1,1,1,34,30,"$96,900",$0,03/10/2024
2 Ambientes En Venta Coronel Dí­az Y Las Heras,Departamento,Palermo,2,1,1,39,39,"$98,000",$0,13/11/2024
"2 Ambientes Con Patio ,duplex,lavadero, Apto Credito",Departamento,Palermo,2,1,1,63,53,"$99,900",$0,25/11/2024
1 AMBIENTES EN PALERMO A ESTTRENAR,Departamento,Palermo,1,1,1,36,31,"$106,000",$0,22/11/2024
Venta Amplio Monoambiente Balcón Luminoso Palermo Nuevo,Departamento,Palermo,1,1,1,39,35,"$109,000",$0,20/11/2024
Venta Amplio Monoambiente Balcón Luminoso Palermo Nuevo,Departamento,Palermo,1,1,1,39,35,"$109,000",$0,20/11/2024
Departamento De 2 Ambientes En Venta En Palermo,Departamento,Palermo,2,1,1,45,42,"$113,100",$0,16/11/2024
Departamento En Venta En Palermo,Departamento,Palermo,2,1,1,43,39,"$115,000",$0,23/10/2024
"Palermo - Venta - Departamento 2 Ambientes Muy Cómodos, Excelente Distribución",Departamento,Palermo,2,1,1,50,45,"$119,000",$0,16/10/2024
Departamento En Pleno Corazón De Palermo,Departamento,Palermo,2,1,1,57,57,"$119,000",$0,16/10/2024
venta departamento de 3 ambientes + patio Palermo,Departamento,Palermo,3,2,1,54,49,"$120,000",$0,08/10/2024
DEPARTAMENTO EN VENTA DE 3 AMBIENTES EN LAS CAí‘ITAS. PISO ALTO Y LUMINOSO,Departamento,Palermo,3,2,1,466,466,"$120,000",$0,04/11/2024
Venta Departamento 3 Ambientes Con Balcon En Palermo,Departamento,Palermo,3,2,1,48,0,"$120,000",$0,15/11/2024
Departamento 2 Ambientes En Palermo. En Venta!,Departamento,Palermo,2,1,1,37,36,"$125,000",$0,24/10/2024
Departamento 2 Ambientes con Escritorio y Vestidor en Belgrano,Departamento,Palermo,2,1,1,57,57,"$125,000",$0,21/11/2024
Departamento En Palermo,Departamento,Palermo,3,2,1,72,61,"$125,000",$0,25/11/2024
"Departamento 2ambientes Apto Credito Y Profesional Sobre Av.cabildo , Vista Abierta , Capital Federal, Buenos Aires",Departamento,Palermo,2,1,1,56,52,"$127,000",$0,08/10/2024
Departamento Dos Ambientes Con Patio.,Departamento,Palermo,2,1,1,45,40,"$130,000",$0,07/11/2024
Departamento En Villa Crespo,Departamento,Palermo,3,2,1,58,54,"$130,000",$0,23/10/2024
3 Ambientes | Malabia Al 2100,Departamento,Palermo,3,2,1,55,55,"$135,000",$0,17/10/2024
Moderno Dos Ambientes En Ugarteche 3000 - Palermo,Departamento,Palermo,2,1,1,40,40,"$138,000",$0,06/11/2024
Depto. 3 Amb. C/fte. M/luminoso Malabia Al 1100,Departamento,Palermo,4,3,1,58,58,"$140,000",$0,22/11/2024
"Luminoso, Excelente Ubicación.",Departamento,Palermo,3,2,1,58,56,"$142,000",$0,30/10/2024
"3 Ambientes , Balcon Terraza, Lavadero,vista Abierta",Departamento,Palermo,3,2,1,85,75,"$144,000",$0,19/11/2024
Botánico - Tres Ambientes - Muy Tranquilo Y Luminoso,Departamento,Palermo,3,2,1,68,0,"$145,000",$0,20/11/2024
Departamento Venta 2 Amb Palermo - Amenities Opcional Cochera,Departamento,Palermo,2,1,1,45,45,"$146,000",$0,10/10/2024
Departamento En Palermo,Departamento,Palermo,3,2,1,72,72,"$147,000",$0,07/10/2024
Departamento En Palermo,Departamento,Palermo,3,2,1,72,72,"$147,000",$0,07/10/2024
Departamento En Colegiales,Departamento,Palermo,3,2,1,73,67,"$147,900",$0,04/11/2024
Impecable Y Amplio 2 Ambientes Con Patio Y Mucha Luz - Apto Profesional,Departamento,Palermo,2,1,1,62,62,"$149,000",$0,14/10/2024
"Depto. 3 Amb, Piso 10, con Cochera, 2 Balcones, en Edificio Torre, en Palermo",Departamento,Palermo,3,2,1,58,52,"$155,000",$0,08/11/2024
Departamento Duplex En Venta En Palermo A Estrenar,Departamento,Palermo,3,1,2,74,74,"$155,000",$0,14/10/2024
Venta 44m2 - Segui 3900 - Botanico,Departamento,Palermo,1,1,1,44,40,"$156,900",$0,12/11/2024
Excelente 2 Ambientes - 50 Mts. - Mucha Luz - Piscina - Laundry,Departamento,Palermo,2,1,1,50,50,"$159,000",$0,14/10/2024
"Premium 2 Amb, Baño y Toilette, Edificio de Vanguardia con Los Mejores Amenities",Departamento,Palermo,2,1,2,60,45,"$160,000",$0,25/11/2024
Venta Departamento 2 Ambientes en Palermo,Departamento,Palermo,2,1,1,49,46,"$160,000",$0,24/10/2024
Venta Palermo Hollywood 3 ambientes con terraza propida,Departamento,Palermo,3,2,1,93,64,"$160,000",$0,31/10/2024
Venta Palermo Hollywood 3 ambientes con terraza propida,Departamento,Palermo,3,2,1,93,64,"$160,000",$0,31/10/2024
"DEPARTAMENTO 2 AMBIENTES - PALERMO, CAPITAL FEDERAL",Departamento,Palermo,2,1,1,459,381,"$160,000",$0,01/11/2024
Venta - 3 Ambientes - Palermo - Amenities,Departamento,Palermo,3,2,1,74,64,"$164,000",$0,29/10/2024
Venta - Departamento - 3 Ambientes - Palermo,Departamento,Palermo,3,2,2,74,64,"$164,000",$0,29/10/2024
Venta de departamento de 2 amb con cochera en Palermo,Departamento,Palermo,2,1,1,43,40,"$164,999",$0,30/09/2024
Departamento En Palermo,Departamento,Palermo,2,1,1,55,55,"$165,000",$0,07/10/2024
Departamento En Palermo,Departamento,Palermo,2,1,1,55,55,"$165,000",$0,07/10/2024
Venta Departamento 4 Ambientes En Palermo,Departamento,Palermo,4,3,2,107,80,"$165,000",$0,27/09/2024
Venta Departamento 4 Ambientes Con Dependencia Oportunidad En Palermo - Apto Credito,Departamento,Palermo,4,3,1,90,90,"$165,000",$0,15/11/2024
Venta - Departamento - 3 Ambientes - Palermo,Departamento,Palermo,3,2,2,87,64,"$166,000",$0,29/10/2024
Departamento 2 Ambientes Palermo Soho,Departamento,Palermo,2,1,1,51,45,"$168,000",$0,20/11/2024
Venta - Departamento - 3 Ambientes - Palermo,Departamento,Palermo,3,2,2,74,64,"$168,000",$0,29/10/2024
Excelente Departamento 4 Amb. En Palermo,Departamento,Palermo,4,3,3,98,89,"$168,000",$0,08/10/2024
Departamento Tipo Ph 3 Ambientes Refaccionado En Venta Palermo,Departamento,Palermo,3,2,2,69,62,"$169,000",$0,06/11/2024
Venta - Departamento - 3 Ambientes - Palermo,Departamento,Palermo,3,2,2,74,64,"$170,000",$0,29/10/2024
Departamento En Barrio Norte,Departamento,Palermo,3,2,1,83,78,"$170,000",$0,06/11/2024
Venta - Departamento - 3 Ambientes - Palermo,Departamento,Palermo,3,2,2,78,61,"$172,000",$0,29/10/2024
Venta Departamento Apto Profesional De 2 Ambientes En Palermo - En Construccion,Departamento,Palermo,2,1,1,66,57,"$178,200",$0,06/10/2024
Departamento En Palermo 3 Amb C/dependencia!!!,Departamento,Palermo,4,3,2,78,72,"$180,000",$0,14/10/2024
PALERMO BOTANICO VENTA 3 AMB C/BALCóN -C/ DEPENDENCIA O ESCRITORIO,Departamento,Palermo,3,2,1,88,80,"$180,000",$0,28/10/2024
Venta departamento Palermo 4 amb + Dep - Salguero y Guemes,Departamento,Palermo,4,3,2,85,85,"$180,000",$0,30/10/2024
Emprendimiento Live Charcas - Departamento De 2 Amb. Con Balcón Y Amenities En Palermo Soho,Departamento,Palermo,2,1,1,55,50,"$183,000",$0,01/11/2024
Emprendimiento Live Charcas - Departamento De 2 Amb. Con Balcón Y Amenities En Palermo Soho,Departamento,Palermo,2,1,1,50,46,"$190,000",$0,01/11/2024
venta depto 3 amb + dep Palermo,Departamento,Palermo,3,2,2,86,75,"$198,000",$0,26/09/2024
Vista Panoramica Alto Palermo,Departamento,Palermo,4,2,2,83,83,"$198,000",$0,23/10/2024
Palermo. 4 ambientes con cochera y baulera. Muy luminoso.,Departamento,Palermo,4,3,2,80,77,"$205,000",$0,26/11/2024
En Construccion - Venta Departamento Apto Profesional De 2 Ambientes En Palermo,Departamento,Palermo,2,1,1,66,57,"$207,900",$0,06/10/2024
Divino!! 3 Ambientes Con Gran Terraza,Departamento,Palermo,2,1,1,71,43,"$208,000",$0,26/11/2024
2 Ambientes Full Amenities Â· Seguridad 24 Horas,Departamento,Palermo,2,1,2,62,53,"$210,000",$0,02/10/2024
Departamento - Palermo,Departamento,Palermo,3,2,1,64,61,"$210,000",$0,30/10/2024
Amplio departamento con balcón corrido a metros del Boulevard Charcas,Departamento,Palermo,4,4,1,106,97,"$210,000",$0,28/09/2024
Palermo - Aráoz Y Guemes - 3 Amb Al Frente Con Balcon Terraza De 38 Mts.,Departamento,Palermo,3,2,2,107,69,"$218,000",$0,25/11/2024
Palermo - Aráoz Y Guemes - 3 Amb Al Frente Con Balcon Terraza De 38 Mts.,Departamento,Palermo,3,2,2,107,69,"$218,000",$0,25/11/2024
Departamento En Venta De 2 Dormitorios Con Dependencia En Las Cañitas,Departamento,Palermo,3,2,1,77,69,"$225,000",$0,21/10/2024
Departamento En Palermo,Departamento,Palermo,2,1,1,86,66,"$228,000",$0,09/10/2024
Edificio Premium A Estrenar - Gran 2 Amb. De Lujo!!!,Departamento,Palermo,2,1,2,64,55,"$230,000",$0,22/10/2024
Edificio Premium A Estrenar - Gran 2 Amb. De Lujo!!!,Departamento,Palermo,2,1,2,66,57,"$230,000",$0,22/10/2024
Av Cnel Dí­az 1700 Palermo 4amb U$230.000,Departamento,Palermo,4,3,2,137,92,"$230,000",$0,06/10/2024
Departamento 3 Ambientes Palermo,Departamento,Palermo,3,2,2,66,62,"$232,000",$0,27/09/2024
Alma Palermo íšltimos 3 Amb. Medrano Y Honduras,Departamento,Palermo,3,2,2,85,72,"$234,400",$0,15/10/2024
"DEPARTAMENTO 2 AMBIENTES - PALERMO, CAPITAL FEDERAL",Departamento,Palermo,2,1,1,648,367,"$234,490",$0,27/09/2024
Av Dorrego 1600 Palermo 2amb U$235.000 Apto Prof,Departamento,Palermo,2,1,2,125,65,"$235,000",$0,26/09/2024
Departamento 3 Amb Balcon Corrido - Amenities - Opcional Cochera - Palermo,Departamento,Palermo,3,2,2,85,72,"$244,000",$0,10/10/2024
Departamento - Colegiales,Departamento,Palermo,3,2,1,71,62,"$245,000",$0,01/11/2024
Preventa Godoy Palermo 2 Ambientes,Departamento,Palermo,2,1,1,70,49,"$250,000",$0,12/11/2024
Increible 4 Ambientes C/ Dep Con Hermosa Vista - 90 Mts. - Seguridad 24 Hs,Departamento,Palermo,4,3,3,90,90,"$250,000",$0,09/10/2024
"Emprendimiento ,4 Ambientes C/ Balcon A Calle, Dormitorio En Suite, Amenities",Departamento,Palermo,4,3,2,107,78,"$254,000",$0,29/10/2024
Venta Departamento 3 Ambientes Palermo,Departamento,Palermo,3,2,2,83,71,"$255,000",$0,19/11/2024
Impecable Piso De 4 Ambientes Con Balcón Al Frente,Departamento,Palermo,4,3,3,86,86,"$269,000",$0,22/11/2024
Gelly Y Cavia - Palermo Chico - Piso Alto - Exclusivo Departamento De 2 Amb. Amplios,Departamento,Palermo,2,1,1,75,65,"$270,000",$0,01/11/2024
Venta Departamento 3 Ambientes Palermo,Departamento,Palermo,3,2,2,120,70,"$270,000",$0,19/11/2024
EXCELENTE DEPARTAMENTO DE 3/4 AMBIENTES CON DEPENDENCIA. LUMINOSO.,Departamento,Palermo,4,2,1,97,97,"$270,000",$0,11/11/2024
Semipiso En Torre Guemes Y Borges,Departamento,Palermo,4,3,2,111,111,"$270,000",$0,12/11/2024
Departamento 3 Ambientes En Godoy Palermo,Departamento,Palermo,3,2,2,77,61,"$273,000",$0,12/11/2024
Departamento De 4 Ambientes En Venta En Palermo,Departamento,Palermo,4,3,2,120,105,"$275,000",$0,06/11/2024
Departamento En Palermo,Departamento,Palermo,4,3,2,153,140,"$279,000",$0,06/11/2024
Venta Departamento Tipo Loft 4 Ambientes En El Barrio De Palermo Apto Profesional,Departamento,Palermo,4,3,1,133,103,"$280,000",$0,15/10/2024
"DEPARTAMENTO 3 AMBIENTES - PALERMO, CAPITAL FEDERAL",Departamento,Palermo,3,2,1,115,84,"$285,000",$0,07/11/2024
DEPARTAMENTO EN VENTA EN PALERMO,Departamento,Palermo,3,2,2,63,60,"$288,000",$0,08/10/2024
Increible 3 Ambientes Con Dependencia En Piso Alto.- Palermo. En Venta!,Departamento,Palermo,3,2,2,96,88,"$290,000",$0,27/09/2024
"Hermosa Oficina Ideal Consultorios, Estudio, Financiera, Etc.. En Alto Palermo",Departamento,Palermo,6,5,2,122,122,"$295,000",$0,12/11/2024
Departamento 4 Ambientes Venta - Palermo,Departamento,Palermo,4,3,3,120,111,"$298,000",$0,22/11/2024
"Departamento En Palermo 4 Amb ,",Departamento,Palermo,4,3,1,105,95,"$300,000",$0,23/10/2024
"DEPARTAMENTO 3 AMBIENTES - PALERMO, CAPITAL FEDERAL",Departamento,Palermo,3,2,2,85,78,"$320,000",$0,27/10/2024
Departamento En Barrio Norte. 3 Dormitorios. Planta Baja Con Jardí­n.,Departamento,Palermo,5,3,2,182,102,"$330,000",$0,08/11/2024
Estupendo 3 ambientes Vista abierta Palermo,Departamento,Palermo,3,2,2,90,78,"$340,400",$0,25/10/2024
"DEPARTAMENTO 3 AMBIENTES - PALERMO, CAPITAL FEDERAL",Departamento,Palermo,3,2,2,105,100,"$345,000",$0,23/10/2024
Torre De Categorí­a 5 Ambientes Todo Luz,Departamento,Palermo,5,4,3,119,110,"$435,000",$0,19/11/2024
Departamento En Venta Construccion Entrega Junio 2024 -,Departamento,Palermo,4,3,2,113,101,"$440,000",$0,17/11/2024
Departamento En Venta Construccion Entrega Junio 2024 -,Departamento,Palermo,4,3,2,113,101,"$440,000",$0,02/10/2024
Espectacular Piso De Tres Dormitorios Gran Recepcion,Departamento,Palermo,6,3,3,235,205,"$495,000",$0,16/11/2024
Espectacular Esquina Alto Sol Gran Recepcion,Departamento,Palermo,6,3,3,235,205,"$495,000",$0,15/10/2024
Exclusivo 2 Ambientes En Suite Con Increible Terraza Con Parrilla Propia Y Solarium - Lujo Total,Departamento,Palermo,2,1,2,140,70,"$520,000",$0,22/10/2024
Departamento En Barrio Parque,Departamento,Palermo,3,2,1,142,94,"$540,000",$0,30/09/2024
"DEPARTAMENTO 2 AMBIENTES - BOTíNICO, CAPITAL FEDERAL",Departamento,Palermo Botánico,2,1,1,37,37,"$78,000","$74,000",22/11/2024
Departamento En Venta De 2 Ambientes En Palermo,Departamento,Palermo Botánico,2,1,1,32,32,"$62,000",$0,14/10/2024
Departamento En Botánico,Departamento,Palermo Botánico,2,1,1,43,43,"$118,800",$0,06/11/2024
Departamento En Botánico,Departamento,Palermo Botánico,2,1,1,43,43,"$118,800",$0,06/11/2024
Departamento Palermo Botanico 3 Ambientes Venta Gurruchaga 2300,Departamento,Palermo Botánico,3,2,1,53,45,"$119,999",$0,25/10/2024
Departamento En Venta 3 Ambientes Con Balcon Palermo,Departamento,Palermo Botánico,3,2,1,53,45,"$149,000",$0,06/11/2024
"Departamento En Botanico, Palermo",Departamento,Palermo Botánico,3,3,2,68,68,"$150,000",$0,07/10/2024
EXCELENTE DEPARTAMENTO DE 3 AMBIENTES EN PB ANTIGUO DE TECHOS ALTOS. AL FRENTE,Departamento,Palermo Botánico,3,2,1,71,71,"$170,000",$0,11/11/2024
Departamento En Palermo Botánico,Departamento,Palermo Botánico,3,2,1,71,0,"$170,000",$0,08/11/2024
Departamento En Palermo Botánico,Departamento,Palermo Botánico,3,2,1,71,0,"$170,000",$0,08/11/2024
Venta Departamento Planta Baja De 3 Amb En Palermo,Departamento,Palermo Botánico,3,2,1,97,63,"$208,000",$0,14/10/2024
2 Ambientes Full Amenities Â· Seguridad 24 Horas,Departamento,Palermo Botánico,2,1,2,62,53,"$210,000",$0,02/10/2024
Venta Departamento / Piso De 4 Ambientes Con Dependencia En Palermo - Botánico,Departamento,Palermo Botánico,4,3,1,105,97,"$220,000",$0,16/10/2024
Palermo Chico - Piso Alto - Excepcional Departamento De 2 Amb. Amplios Con 2 Balcones,Departamento,Palermo Botánico,2,1,1,75,65,"$270,000",$0,01/11/2024
Impecable Duplex Reciclado Ugarteche Y Cabello . 86 Metros Totales. 2 Baños,Departamento,Palermo Botánico,3,2,2,86,77,"$320,000",$0,02/10/2024
"Departamento En Venta Ubicado En Palermo, Capital Federal, Buenos Aires",Departamento,Palermo Botánico,5,3,2,182,102,"$330,000",$0,08/11/2024
Departamento En Venta De 4 Ambientes Mas Dependencia En Palermo Botánico,Departamento,Palermo Botánico,4,3,2,138,112,"$345,000",$0,19/11/2024
Cabello Y Salguero Venta 4 Ambientes Con Dependencia,Departamento,Palermo Botánico,4,3,3,108,102,"$349,000",$0,06/11/2024
"Departamento en venta en Palermo,Caba",Departamento,Palermo Boulevard,2,1,1,40,40,"$88,000","$90,000",21/11/2024
"DEPARTAMENTO 3 AMBIENTES - PALERMO CHICO, CAPITAL FEDERAL",Departamento,Palermo Chico,3,2,1,53,53,"$137,000","$82,000",21/10/2024
Departamento 3 ambientes en Palermo,Departamento,Palermo Chico,3,2,1,66,66,"$348,000","$177,000",22/10/2024
SEMIPISO 4 ambientes en Palermo,Departamento,Palermo Chico,4,2,2,76,76,"$198,000","$310,000",22/10/2024
Departamento En Palermo Chico,Departamento,Palermo Chico,2,1,1,39,39,"$110,000",$0,13/11/2024
Divino 2 Ambientes En Palermo Chico,Departamento,Palermo Chico,2,1,1,30,30,"$120,000",$0,23/10/2024
"Excelente Departamento Ideal Inversor 3 Cuadras Plaza Italia, 4 Cuadras Plaza Serrano.",Departamento,Palermo Chico,3,2,2,80,80,"$160,000",$0,04/10/2024
Departamento - Palermo Chico,Departamento,Palermo Chico,3,2,1,72,66,"$190,000",$0,23/10/2024
Departamento En Venta En Palermo Chico,Departamento,Palermo Chico,4,3,1,92,81,"$215,000",$0,08/10/2024
Hermoso Semipiso de 3 Amb C/dependencia Frente a Plaza Sobral a Refaccionar,Departamento,Palermo Chico,3,2,1,90,87,"$224,900",$0,11/10/2024
4 Ambientes Al Frente Palermo Chico,Departamento,Palermo Chico,4,3,1,91,81,"$260,000",$0,27/09/2024
Gelly Y Cavia - Palermo Chico - Piso Alto - Exclusivo Y Luminoso Departamento De 2 Amb. Amplios,Departamento,Palermo Chico,2,1,1,75,65,"$270,000",$0,01/11/2024
Piso Ideal Familia Joven - Palermo Chico Cabello 3100 Venta,Departamento,Palermo Chico,3,2,2,89,80,"$375,000",$0,17/11/2024
Piso Ideal Familia Joven - Palermo Chico Cabello 3100 Venta,Departamento,Palermo Chico,3,2,2,89,80,"$375,000",$0,02/10/2024
"DEPARTAMENTO 3 DORMITORIOS - PALERMO CHICO, CAPITAL FEDERAL",Departamento,Palermo Chico,4,3,2,125,109,"$537,500",$0,15/11/2024
"DEPARTAMENTO 3 DORMITORIOS - PALERMO CHICO, CAPITAL FEDERAL",Departamento,Palermo Chico,4,3,2,125,109,"$550,000",$0,15/11/2024
"DEPARTAMENTO 3 DORMITORIOS - PALERMO CHICO, CAPITAL FEDERAL",Departamento,Palermo Chico,4,3,2,125,109,"$562,500",$0,15/11/2024
"DEPARTAMENTO 3 DORMITORIOS - PALERMO CHICO, CAPITAL FEDERAL",Departamento,Palermo Chico,4,3,2,125,109,"$575,000",$0,15/11/2024
"DEPARTAMENTO 3 AMBIENTES - PALERMO HOLLYWOOD, CAPITAL FEDERAL",Departamento,Palermo Hollywood,3,2,2,875,633,"$345,450","$55,000",21/10/2024
Venta 2 Ambientes en Palermo Soho,Departamento,Palermo Hollywood,2,1,1,32,32,"$73,000","$90,000",25/09/2024
Departamento En Palermo,Departamento,Palermo Hollywood,2,1,1,40,37,"$80,000",$0,01/10/2024
